"YEAR","MONTH ","N.ยบ de prueba","VIV_DBO5","CHI_DBO5","GAV_DBO5","BUT_DBO5","SUR_DBO5","SOR_DBO5","VAL_DBO5","REJ_DBO5","VIV_SS","CHI_SS","GAV_SS","BUT_SS","SUR_SS","SOR_SS","VAL_SS","REJ_SS","VIV_PT","CHI_PT","GAV_PT","BUT_PT","SUR_PT","SOR_PT","VAL_PT","REJ_PT","VIV_NT","CHI_NT","GAV_NT","SOR_NT"
"2017","enero","1","5","5","5","18","5","6","13","17","5","3","7","9","7","13","16","20","0.91","0.25","0.72","1.2","0.57","0.68","0.85","0.78","15.8","NA","9.75","16.8"
"2017","enero","2","5","5","2","5","10","2","15","16","4","2","6","12","9","16","17","18","0.84","0.52","0.59","0.41","0.47","0.62","0.62","0.98","14.9","NA","8.69","11.1"
"2017","febrero","1","5","5","3","8","8","3","13","10","3","5","8","12","11","12","20","14","0.63","0.53","0.7","0.28","0.57","0.55","0.6","0.57","9.8","NA","9.91","7.86"
"2017","febrero","2","5","5","2","8","5","3","17","13","3","5","4","13","15","7","16","17","0.67","0.58","0.79","0.41","0.53","0.57","0.56","0.6","7","NA","5.84","9.8"
"2017","marzo","1","5","5","3","18","10","7","20","8","4","3","10","14","14","10","21","14","0.85","0.71","0.88","0.63","0.77","0.63","0.99","0.63","9.7","NA","9.63","11.3"
"2017","marzo","2","5","8","4","10","8","6","13","4","5","3","8","9","13","10","11","8","0.75","0.61","0.87","0.36","0.61","0.79","0.59","0.5","9.3","NA","9.32","11.7"
"2017","abril","1","6","6","7","11","8.5","6","12","11","4","3","15","14","13","11","18","17","0.75","0.49","1.27","0.46","0.61","0.76","0.81","0.63","10.5","NA","8.45","16"
"2017","abril","2","5","6","3","5","10","5","10","13","13","4","5","5","22","8","13","15","0.71","0.3","0.85","0.36","1.09","0.76","0.93","0.77","10.2","NA","6.9","17.7"
"2017","mayo","1","5","5","3","8","20","5","14","9","3","5","3","9","14","8","19","16","0.57","0.54","0.98","0.39","0.83","0.61","0.75","0.62","4.9","58.9","9.38","12"
"2017","mayo","2","5","5","2","8","8","6","13","7","3","4","6","8","10","9","14","11","0.69","0.6","0.96","0.54","0.54","0.61","0.72","0.44","7.7","13.8","9.69","11.3"
"2017","junio","1","5","5","5","9","9","6","12","18","2","7","7","10","12","9","13","17","0.91","0.18","1.02","0.58","0.65","0.73","0.82","0.86","9.4","8.9","8.07","12.3"
"2017","junio","2","3.5","5","9","6","4.5","3","11","12","7","2","5","7","5.5","6","13","14","13","0.14","0.75","0.80","0.83","0.86","0.69","0.66","6.1","6.3","5.88","10.8"
"2017","julio","1","5","5","8","7","8","7","19","9","4","3","2","9","10","12","39","6","0.72","0.48","0.69","0.42","0.54","0.97","1.04","0.36","14","9","7.13","8.8"
"2017","julio","2","5","5","6","10","5","3","7","7","2","3","4","3","9","7","8","5","0.7","0.27","0.59","0.3","0.35","0.69","0.64","0.5","10.2","8.6","6.04","11.7"
"2017","agosto","1","5","5","6","7","11","4","8","6","2","2","2","9","14","7","6","8","0.55","0.7","0.71","0.3","0.46","0.63","0.53","0.25","7.8","9.7","9.92","14.6"
"2017","agosto","2","5","5","4","5","5","4","10","10","2","2","2","7","14","4","8","6","0.6","0.52","0.41","0.34","0.69","0.57","0.63","0.32","9.4","9.7","6.48","9.34"
"2017","septiembre","1","5","5","8","7","6","5","15","14","2","2","5","8","16","6","13","13","0.77","0.66","0.47","0.44","0.89","0.65","0.78","0.46","13.8","8.8","5.68","11"
"2017","septiembre","2","6","5","2","6","5","3","18","11","2","2","3","12","15","5","9","13","0.53","0.64","0.4","0.61","0.33","0.57","0.53","0.66","11.1","11.5","8.07","6.61"
"2017","octubre","1","5","5","6","11","12","3","13","10","2","4","4","5","19","5","16","14","0.51","0.58","0.56","0.44","0.71","0.57","1.31","0.58","9.6","11","6.89","6.61"
"2017","octubre","2","5","5","3","7","5","2","7","8","2","5","4","6","9","5","6","10","0.51","0.27","0.72","0.24","0.42","0.25","0.43","0.65","6.8","11.1","7.87","4.13"
"2017","noviembre","1","5","5","2","7","16","5","16","9","2","4","7","8","12","5","15","14","0.53","0.77","0.91","0.44","0.48","0.53","0.7","6.5","7.5","8.7","6.73","9.85"
"2017","noviembre","2","5","5","2","8","5","4","16","17","2","2","6","12","12","6","12","55","0.41","0.42","0.59","0.37","0.26","0.55","0.53","0.73","8.2","11.1","10","14.6"
"2017","diciembre","1","5","5","3","5","12","3","12","9","3","1","3","8","13","10","10","9","0.33","0.44","0.52","0.31","0.27","0.41","0.71","0.6","7.6","9.5","8.74","7.9"
"2017","diciembre","2","5","5","2","10","6","7","10","11","2","2","10","8","15","16","9","14","0.45","0.48","1.11","0.36","0.56","0.43","0.51","0.48","7","11.7","15.2","10.8"
"2018","enero","1","5","5","2","14","6","9","11","13","3","1","12","12","11","32","12","6","0.43","0.44","0.77","0.53","0.27","1.02","0.42","0.56","9","10.2","9.82","16.7"
"2018","enero","2","5","5","3","14","5","6","8","9","5","2","13","14","8","7","14","14","0.7","0.59","0.51","0.59","0.42","0.3","0.65","0.42","7.9","14.7","9.42","11.9"
"2018","febrero","1","5","5","8","9","8","3","10","21","3","1","9","11","14","8","9","19","0.47","0.35","0.59","0.21","0.15","0.46","0.64","1.4","9.3","11.4","10","12.8"
"2018","febrero","2","5","5","3","12","17","6","15","38","3","1","7.2","11","10","29","27","15","0.56","0.65","0.41","0.52","0.34","0.71","0.98","0.94","7.4","8.4","12.4","12.9"
"2018","marzo","1","5","5","3","5","5","2","29","10","1","2","5.2","4","9","16","26","11","0.53","0.42","0.39","0.25","0.28","0.4","0.52","0.58","12.3","4.2","9.65","6.46"
"2018","marzo","2","6","5","2","8","5","5","35","7","3","4","5.2","11","11","10","31","9.2","0.39","0.43","0.34","0.4","0.42","0.54","1.41","0.51","8.6","6.6","9.18","8.33"
"2018","abril","1","5","5","3","9","12","3","12","9","4","1","3.2","5","12","8.4","13","11","0.39","0.62","0.4","0.27","0.53","0.54","0.63","0.56","10","6.5","1.3","7.28"
"2018","abril","2","11","5","3","5","5","9","5","7","2","1","2.8","5","15","18","11","11","0.35","0.51","0.36","0.2","0.75","0.68","0.7","0.85","11.1","6","7.5","6.58"
"2018","mayo","1","12","5","5","8","5","8","10","7","3","1","6.4","9","9","9.2","9.5","10","0.6","0.73","0.79","0.45","0.41","0.45","0.51","0.37","10.1","11.4","8.61","7.8"
"2018","mayo","2","5","5","3","8","7","3","8","9","3","2","5.6","7","11","8","8.4","8","0.68","0.61","0.67","0.61","0.64","0.63","0.41","0.55","9.2","11","10.9","6.94"
"2018","junio","1","5","5","11","10","7","4","6","16","3","2","6.4","12","11","8.1","7","15","0.53","0.51","0.37","0.34","0.73","0.41","0.75","0.65","7.5","9.4","7.77","9.63"
"2018","junio","2","5","5","3","8","7","3","8","9","3","2","5.6","7","11","8","8.4","8","0.67","0.75","0.43","0.75","0.52","0.38","0.54","0.65","9.1","9.1","9.42","7.58"
"2018","julio","1","6","5","2","8","7","6","11","7","4","2","3.6","9","10","15","8.4","14","0.73","0.55","0.48","0.53","0.38","0.48","0.57","0.73","7","9.9","11.5","6.96"
"2018","julio","2","5","5","6","7","5","8","10","2","1","2","3.2","9","8","4.8","6","12","0.64","0.61","0.4","0.54","0.25","0.46","0.59","0.73","9.1","9.1","9.42","7.58"
"2018","agosto","1","5","5","7","12","15","4","10","14","2","1","3","9","13","4","11","12","0.62","0.55","0.41","0.46","0.91","0.42","0.84","0.81","9","7.6","9.66","9.65"
"2018","agosto","2","5","6","6","11","8","5","12","11","1","1","2","9","12","4.8","8","6.4","0.66","0.68","0.59","0.59","0.59","0.68","0.63","0.84","12.8","12.2","6.73","8.86"
"2018","septiembre","1","6","12","3","5","5","4","9","8","1","2","2","8","15","2.8","14","7.2","0.64","0.46","0.5","0.4","0.45","0.35","1.3","0.53","11.1","10.3","9.78","9.94"
"2018","septiembre","2","5","5","6","9","11","6","13","13","2","2","3.4","14","11","8","16","10","0.64","0.22","0.6","0.45","0.38","0.61","1.01","0.63","12.6","10.2","9.35","9.15"
"2018","octubre","1","5","5","7","5","30","2","6","12","2","1","2.9","16","11","4","8.4","16","0.5","0.2","0.34","0.47","0.33","0.36","0.53","0.88","17","13.7","8.64","7"
"2018","octubre","2","5","5","3","20","11","3","5","9","2","7","3.2","11","9","6.4","6.5","11","0.58","0.32","0.49","0.35","0.4","0.31","0.52","0.75","18.3","10.9","9.34","7.34"
"2018","noviembre","1","5","9.5","10.2","17","5","11","16.3","15.4","2","2","2.6","15","9","7.5","22","13","0.44","0.4","0.36","0.81","0.23","0.33","1.55","0.65","10.6","11.4","10.9","9.6"
"2018","noviembre","2","6","4.1","3.8","5","5","8.9","13.2","11.9","4","3","3.4","35","18","10.2","11.2","13.6","0.62","0.52","0.36","0.22","1.01","0.41","0.56","0.57","14.3","9.4","9.3","7.5"
"2018","diciembre","1","5","8.3","8.7","7","8","9.8","10.1","14","4","2","3.2","14","14","5","11.6","17.5","0.56","0.24","0.5","0.46","0.68","0.28","0.95","0.6","17","8.9","9.3","9"
"2018","diciembre","2","5","8","5","11","7","4","10","9","4","5.4","5.2","24","11","6.6","9.2","18","0.67","0.58","0.73","0.42","0.39","0.61","0.52","0.84","14.5","9.65","9.42","7.58"
"2019","enero","1","5","2","2","6","6","3","15","15","6","12","12","12","12","7.6","15","30","1","0.75","0.51","0.79","0.8","0.24","0.95","0.85","12.4","20.9","11.1","7.17"
"2019","enero","2","5","2","5","11","5","2","12","15","6","3","5","13","9","11","16","17","1.02","0.75","0.48","0.6","0.67","0.48","0.61","0.65","18.4","11.8","8.03","7.53"
"2019","febrero","1","5","2","2","7","5","2","9","13","3","2","2.6","18","12","4.8","14","15","0.52","0.74","0.26","0.26","0.47","1.88","0.66","0.49","9.1","12.3","8.63","8.68"
"2019","febrero","2","5","3","4","5","5","5","16","18","2","4.4","4","15","10","14","7.6","23","0.55","0.68","0.49","0.57","0.38","0.52","0.4","0.6","6.7","14.7","11.1","9.91"
"2019","marzo","1","5","2","2","8","9","2","13","7","3","2","2","17","12","8.4","11","9.2","0.49","0.55","0.31","0.65","0.55","0.23","0.47","0.79","8.5","12","9.11","7.27"
"2019","marzo","2","5","2","2","12","8","2","9","8","1","2","7.8","17","8","7.4","7","8","0.46","0.74","0.43","0.61","0.36","0.32","0.59","0.61","9.7","16.7","8.77","8.12"
"2019","abril","1","5","3","3","10","10","2","11","6","3","2","2","17","17","4.4","8.5","10","0.49","0.57","0.38","0.66","0.45","0.22","0.72","0.57","9.4","18.6","6.65","5.65"
"2019","abril","2","8","2","3","7","6","2","9","7","3","2","2","11","9","5.8","7.6","6.8","0.46","0.68","0.61","0.45","0.38","0.37","1.03","0.47","8.8","11.9","8.66","7.48"
"2019","mayo","1","5","2","3","6","6","4","13","10","1","2","4","13","10","3.6","9.1","8","0.37","0.58","0.51","0.75","0.45","0.22","0.61","0.72","9.3","8.12","8.75","7.45"
"2019","mayo","2","5","4","7","7","7","5","9","16","3","2","2.4","15","22","2.2","9.6","16","0.59","0.65","0.35","0.49","0.31","0.17","0.46","0.54","10.1","5.86","5.6","6.12"
"2019","junio","1","5","3","4","11","5","5","12","6","3","2","2.8","18","13","2","12","21","0.64","0.44","0.58","0.56","0.41","0.21","0.8","0.74","9.4","9.08","6.25","6.19"
"2019","junio","2","6","10","5","5","9","6","12","12","2","2","2","14","11","4.5","7","8","0.58","0.55","0.53","0.68","0.56","0.6","0.53","0.66","8.7","7.54","5.87","6.99"
"2019","julio","1","5","6","8","12","7","7","15","14","1","2","2.4","9","6","5","5","14","0.56","0.38","0.63","0.49","0.35","0.25","0.68","0.74","11.1","8.7","6.63","6.78"
"2019","julio","2","5","7","7","9","7","5","7","5","3","2","2","11","8","5.6","10","10","0.42","0.44","0.75","0.53","0.3","0.39","0.56","0.67","8.1","9.2","5.74","8.69"
"2019","agosto","1","5","5","9","9","5","8","9","10","2","5.7","5.3","11","11","7.2","18","11","0.61","0.21","0.73","0.45","0.74","0.44","0.45","0.62","9.6","6.88","7.68","6.2"
"2019","agosto","2","5","2","2","30","5","6","9","17","3","2.8","2.2","14","10","2.2","4","11","0.59","0.67","0.7","0.61","0.67","0.39","0.6","0.39","8.5","10.6","7.05","8.2"
"2019","septiembre","1","5","6","11","15","14","10","13","12","3","4.4","2.8","10","13","5.6","5.1","10","0.44","0.63","0.54","0.45","0.54","0.57","0.63","0.44","9.8","7.74","7.92","8.14"
"2019","septiembre","2","5","7","5","6","12","5","9","11","3","2","3","9","15","4.2","5","6.9","0.57","0.6","0.77","0.41","0.78","0.54","0.42","0.47","8.2","9.68","7.51","8.94"
"2019","octubre","1","5","3","4","5","5","5","12","13","3","2.2","4","9","11","23","46","52","0.62","0.69","0.64","0.62","0.71","0.35","0.66","0.63","12.6","12.6","8.76","7.91"
"2019","octubre","2","5","2","2","8","11","3","11","9","2","2","2.4","12","16","7.2","9.3","12","0.49","0.66","0.5","0.51","1","0.49","0.53","0.73","7.1","12.1","7.42","9.22"
"2019","noviembre","1","5","2","3","21","7","3","16","9","7","2","7.7","13","19","3.4","14","15","0.5","0.4","0.49","0.8","1.08","0.25","0.67","0.79","12.5","9.9","9.06","8.59"
"2019","noviembre","2","8","2","2","13","11","2","15","14","4","22","2","15","13","2.4","14","15","0.74","0.68","0.56","0.6","0.58","0.39","0.63","0.63","10.9","11","8.82","8.87"
"2019","diciembre","1","4.5","3","10","4.8","4.7","8","11","2","2","4.6","3.4","10","17","15","8.6","9.1","0.53","0.626","0.556","0.45","0.71","0.617","0.299","0.785","4.4","12.1","6.01","6.65"
"2019","diciembre","2","4.3","2","1.8","10","11","2","14","13","3","2.4","1.7","14","16","3.2","10","13","0.68","0.643","0.264","0.45","0.67","0.379","0.645","0.735","7.4","13.4","8.97","8.66"
"2020","enero","1","5","2","5","12","12","5","14","12","3","2","10","15","12","12","14","16","0.6","0.637","0.605","0.65","0.82","0.203","0.653","0.933","6.3","9.02","9.66","8.95"
"2020","enero","2","6","2","5","9","5","3","18","6","4","2.4","11","13","18","16","18","10","0.6","0.798","0.611","0.6","0.63","0.459","0.853","0.796","8.7","10.7","8.61","5.84"
"2020","febrero","1","5","3","4","5","8","5","15","15","3","2","6.4","17","11","4.6","13","11","0.69","0.71","0.765","0.67","0.59","0.482","0.502","0.703","8.1","11.3","7.87","9.57"
"2020","febrero","2","5","2","4","8","5","2","15","15","7","2.4","5","14","11","4.6","15","17","0.75","0.656","0.747","0.68","0.51","0.213","0.779","0.826","8.4","9.39","7.71","8.66"
"2020","marzo","1","5","2","4","5","5","3","23","14","4","2","9.2","5","21","9.5","24","10","0.66","0.703","0.752","0.59","0.43","0.54","1.36","0.856","9.7","11.4","9.66","19.3"
"2020","marzo","2","5","2","2","7","11","2","14","12","3","2","5.8","15","12","10","12","16","0.67","0.857","0.673","0.36","0.43","0.617","0.6","0.893","9.1","15.3","9.7","8.88"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
